Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
1,Quincy Acy,68,18.9,.486,.784,4.4,1.0,0.4,0.3,0.9,5.9,acyqu01
2,Jordan Adams,30,8.3,.465,.609,0.9,0.5,0.5,0.2,0.5,3.1,adamsjo01
3,Steven Adams,70,25.3,.544,.502,7.5,0.9,0.5,1.2,1.4,7.7,adamsst01
4,Jeff Adrien,17,12.6,.432,.579,4.5,0.9,0.2,0.5,0.5,3.5,adrieje01
5,Arron Afflalo,78,32.1,.491,.843,3.2,1.7,0.5,0.1,1.5,13.3,afflaar01
5,Arron Afflalo,53,33.0,.490,.841,3.4,1.9,0.6,0.1,1.6,14.5,afflaar01
5,Arron Afflalo,25,30.1,.493,.851,2.7,1.1,0.4,0.1,1.3,10.6,afflaar01
6,Alexis Ajinça,68,14.1,.550,.818,4.6,0.7,0.3,0.8,1.0,6.5,ajincal01
7,Furkan Aldemir,41,13.2,.513,.481,4.3,0.7,0.4,0.4,0.4,2.3,aldemfu01
8,Cole Aldrich,61,16.0,.478,.781,5.5,1.2,0.6,1.1,1.0,5.5,aldrico01
9,LaMarcus Aldridge,71,35.4,.479,.845,10.2,1.7,0.7,1.0,1.7,23.4,aldrila01
10,Lavoy Allen,63,17.0,.472,.702,5.1,1.2,0.2,0.7,0.6,5.0,allenla01
11,Tony Allen,63,26.2,.505,.627,4.4,1.4,2.0,0.5,1.4,8.6,allento01
12,Al-Farouq Aminu,74,18.5,.459,.712,4.6,0.8,0.9,0.8,0.7,5.6,aminual01
13,Lou Amundson,53,17.7,.427,.471,5.1,1.3,0.4,1.0,1.2,4.9,amundlo01
13,Lou Amundson,12,6.6,.333,.600,1.7,0.4,0.1,0.0,0.4,0.9,amundlo01
13,Lou Amundson,41,20.9,.432,.463,6.0,1.6,0.5,1.3,1.4,6.0,amundlo01
14,Chris Andersen,60,18.9,.589,.667,5.0,0.7,0.4,1.0,0.7,5.3,anderch01
15,Alan Anderson,74,23.6,.526,.812,2.8,1.1,0.8,0.1,0.8,7.4,anderal01
