Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
1,Steven Adams,18,30.7,.613,.630,9.5,0.7,0.5,0.8,0.9,10.1,adamsst01
2,Cole Aldrich,6,12.8,.667,.500,5.0,0.5,1.0,0.5,0.3,3.8,aldrico01
3,LaMarcus Aldridge,10,33.7,.527,.891,8.3,1.0,0.4,1.4,1.1,21.9,aldrila01
4,Lavoy Allen,6,8.5,.300,,2.3,0.3,0.2,0.2,0.2,1.0,allenla01
5,Tony Allen,4,23.5,.318,.692,2.8,0.8,1.3,0.5,1.5,7.5,allento01
6,Al-Farouq Aminu,11,33.8,.547,.724,8.6,1.8,0.7,0.9,1.9,14.6,aminual01
7,Chris Andersen,4,19.8,.417,.625,7.8,0.8,0.5,0.8,1.3,3.8,anderch01
8,Justin Anderson,5,19.0,.514,.643,4.0,1.4,0.8,0.6,1.0,9.4,anderju01
9,Kyle Anderson,10,12.9,.340,.857,2.4,0.7,0.6,0.3,0.4,2.3,anderky01
10,Trevor Ariza,5,36.2,.294,.750,4.2,0.8,2.6,0.2,2.4,6.6,arizatr01
11,Jeff Ayres,2,1.0,1.000,1.000,0.0,0.0,0.0,0.0,0.0,1.5,pendeje02
12,Leandro Barbosa,23,11.0,.642,.762,1.2,0.7,0.5,0.0,0.5,5.6,barbole01
13,J.J. Barea,4,25.0,.338,1.000,1.5,5.0,0.0,0.0,2.8,6.3,bareajo01
14,Harrison Barnes,24,31.0,.446,.765,4.7,1.3,0.7,0.2,0.8,9.0,barneha02
15,Matt Barnes,4,34.8,.380,.800,7.3,2.8,1.0,0.3,3.3,10.8,barnema02
16,Nicolas Batum,5,28.8,.444,.850,3.6,2.0,0.4,0.0,1.6,11.4,batumni01
17,Aron Baynes,4,11.0,.444,.667,2.0,0.5,0.0,0.0,0.8,2.5,baynear01
18,Kent Bazemore,10,32.5,.430,.682,6.6,1.9,1.4,0.6,1.0,11.9,bazemke01
19,Michael Beasley,5,16.0,.500,.857,4.2,0.6,0.2,0.0,1.4,10.4,beaslmi01
20,Patrick Beverley,5,25.8,.311,1.000,4.4,2.2,0.4,0.4,0.8,5.8,beverpa01
21,Bismack Biyombo,20,25.3,.580,.597,9.4,0.4,0.4,1.4,1.1,6.2,biyombi01
22,Steve Blake,4,10.8,.300,.500,1.0,2.5,0.0,0.0,1.3,1.0,blakest01
23,Andrew Bogut,22,16.6,.623,.357,5.7,1.4,0.6,1.6,0.9,4.6,bogutan01
24,Avery Bradley,1,33.0,.469,1.000,3.0,1.0,1.0,1.0,1.0,18.0,bradlav01
25,Corey Brewer,5,15.4,.278,.875,1.4,1.6,0.0,0.2,1.2,4.4,breweco01
26,Reggie Bullock,2,11.0,1.000,,1.0,1.5,0.5,0.0,0.0,6.0,bullore01
27,Kentavious Caldwell-Pope,4,40.3,.560,.714,4.3,2.8,1.8,0.3,0.5,15.3,caldwke01
28,Clint Capela,5,8.6,.333,.400,4.0,0.4,0.6,0.4,0.6,1.6,capelca01
29,DeMarre Carroll,20,29.8,.472,.750,4.1,0.9,0.9,0.4,0.9,8.9,carrode01
30,Vince Carter,4,22.8,.561,1.000,3.8,1.3,0.5,0.3,0.8,11.3,cartevi01
31,Ian Clark,16,9.6,.547,.800,1.1,1.0,0.5,0.0,0.6,4.1,clarkia01
32,Nick Collison,9,8.8,.667,.500,1.2,0.6,0.9,0.0,0.1,1.0,collini01
33,Pat Connaughton,6,1.3,.800,,0.2,0.0,0.0,0.0,0.0,1.3,connapa01
34,Allen Crabbe,11,27.5,.623,.737,2.9,1.4,0.6,0.1,0.5,9.5,crabbal01
35,Jamal Crawford,6,33.2,.398,.880,2.2,2.2,1.7,0.0,1.5,17.3,crawfja01
36,Jae Crowder,6,32.8,.347,.636,6.5,2.2,1.5,0.5,1.2,9.5,crowdja01
37,Stephen Curry,18,34.1,.556,.916,5.5,5.2,1.4,0.3,4.2,25.1,curryst01
38,Troy Daniels,4,4.5,.125,,0.5,0.0,0.0,0.0,0.0,0.5,danietr01
39,Ed Davis,11,18.6,.525,.576,6.8,1.3,0.2,0.6,0.9,5.5,davised01
40,Matthew Dellavedova,20,12.1,.405,.750,0.8,2.8,0.1,0.1,0.7,3.9,dellama01
41,Luol Deng,14,35.4,.558,.842,5.9,1.6,0.9,0.6,1.6,13.3,denglu01
42,DeMar DeRozan,20,37.3,.399,.813,4.2,2.7,1.1,0.2,2.3,20.9,derozde01
43,Boris Diaw,9,17.7,.478,.750,2.1,2.3,0.2,0.4,0.7,5.2,diawbo01
44,Spencer Dinwiddie,1,2.0,1.000,,0.0,1.0,0.0,0.0,0.0,2.0,dinwisp01
45,Goran Dragić,14,33.7,.481,.767,4.9,3.9,0.4,0.2,2.2,16.5,dragigo01
46,Andre Drummond,4,32.8,.519,.324,9.0,0.0,0.3,1.5,1.0,16.8,drumman01
47,Tim Duncan*,10,21.8,.423,.714,4.8,1.4,0.2,1.3,1.0,5.9,duncati01
48,Kevin Durant,18,40.3,.468,.890,7.1,3.3,1.0,1.0,3.6,28.4,duranke01
49,Monta Ellis,7,32.1,.480,.800,3.9,4.3,2.1,0.0,2.4,11.6,ellismo01
50,Festus Ezeli,23,8.8,.536,.432,2.7,0.3,0.0,0.3,0.6,4.0,ezelife01
51,Jordan Farmar,4,28.3,.387,1.000,1.5,4.0,0.8,0.3,2.5,6.8,farmajo01
52,Raymond Felton,5,34.4,.493,.636,4.6,4.6,1.2,0.0,2.4,15.0,feltora01
53,Randy Foye,16,11.9,.439,1.000,1.3,0.8,0.1,0.2,0.7,2.5,foyera01
54,Enes Freedom,18,17.9,.559,.844,6.2,0.3,0.3,0.6,0.9,9.4,kanteen01
55,Channing Frye,17,13.9,.783,.857,2.4,0.3,0.4,0.5,0.3,6.7,fryech01
56,Paul George,7,39.3,.528,.953,7.6,4.3,2.0,0.7,3.3,27.3,georgpa01
57,Manu Ginóbili*,10,19.2,.521,.783,2.7,2.5,0.8,0.3,0.7,6.7,ginobma01
58,Andrew Goudelock,2,5.5,.500,,1.0,0.0,0.0,0.0,1.5,3.0,goudean01
59,Danny Green,10,26.7,.656,.667,3.1,0.7,2.1,0.8,0.6,8.6,greenda02
60,Draymond Green,23,38.2,.500,.738,9.9,6.0,1.6,1.8,2.4,15.4,greendr01
61,Gerald Green,12,9.2,.367,.800,1.4,0.1,0.3,0.1,0.2,3.3,greenge01
62,JaMychal Green,4,18.0,.545,.500,3.8,0.8,0.8,1.3,1.0,6.8,greenja01
63,Jeff Green,6,26.5,.500,.600,3.2,0.7,1.0,0.3,0.5,10.2,greenje02
64,Blake Griffin,4,31.8,.387,.760,8.8,4.0,0.8,0.5,2.3,15.0,griffbl01
65,Jorge Gutiérrez,3,4.0,.000,,0.7,0.7,0.0,0.0,0.3,0.0,gutiejo01
66,P.J. Hairston,2,11.0,.417,.000,0.0,0.0,0.5,0.0,0.5,2.5,hairspj02
67,Tyler Hansbrough,2,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,hansbty01
68,Tim Hardaway Jr.,9,9.7,.308,.667,1.0,0.8,0.0,0.1,0.3,2.2,hardati02
69,James Harden,5,38.6,.475,.844,5.2,7.6,2.4,0.2,5.2,26.6,hardeja01
70,Maurice Harkless,11,24.7,.495,.480,5.1,0.6,0.9,0.3,1.0,11.0,harklma01
71,Montrezl Harrell,2,6.0,.333,.500,1.0,0.0,0.0,0.0,0.5,1.5,harremo01
72,Devin Harris,5,24.2,.567,.500,2.8,1.6,0.6,0.0,0.6,7.8,harride01
73,Tobias Harris,4,39.0,.500,.923,9.5,3.0,0.8,0.8,1.5,14.5,harrito02
74,Aaron Harrison,2,3.5,,,0.5,0.0,0.0,0.0,0.0,0.0,harriaa01
75,Udonis Haslem,9,9.4,.533,.714,3.4,0.4,0.0,0.1,0.8,2.3,hasleud01
76,Spencer Hawes,5,10.6,.500,.833,3.2,0.6,0.2,0.4,0.8,3.6,hawessp01
77,Gerald Henderson,11,21.3,.409,.750,3.2,1.5,0.5,0.3,0.5,6.9,hendege02
78,George Hill,7,33.6,.675,.818,2.7,2.1,0.9,0.1,1.1,13.6,hillge01
79,Jordan Hill,5,3.0,.000,,1.2,0.4,0.0,0.0,0.0,0.0,hilljo01
