Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
1,Steven Adams,63,26.7,.593,.582,9.3,2.3,0.8,1.1,1.5,10.9,adamsst01
2,Bam Adebayo,72,33.6,.558,.691,10.2,5.1,1.1,1.3,2.8,15.9,adebaba01
3,LaMarcus Aldridge,53,33.1,.532,.827,7.4,2.4,0.7,1.6,1.4,18.9,aldrila01
4,Kyle Alexander,2,6.5,.500,,1.5,0.0,0.0,0.0,0.5,1.0,alexaky01
5,Nickeil Alexander-Walker,47,12.6,.455,.676,1.8,1.9,0.4,0.2,1.1,5.7,alexani01
6,Grayson Allen,38,18.9,.580,.867,2.2,1.4,0.3,0.1,0.9,8.7,allengr01
7,Jarrett Allen,70,26.5,.649,.633,9.6,1.6,0.6,1.3,1.1,11.1,allenja01
8,Kadeem Allen,10,11.7,.489,.636,0.9,2.1,0.5,0.2,0.8,5.0,allenka01
9,Al-Farouq Aminu,18,21.1,.343,.655,4.8,1.2,1.0,0.4,0.9,4.3,aminual01
10,Justin Anderson,10,10.7,.342,.500,2.1,0.8,0.0,0.6,0.4,2.8,anderju01
11,Kyle Anderson,67,19.9,.511,.667,4.3,2.4,0.8,0.6,1.0,5.8,anderky01
12,Ryan Anderson,2,7.0,.357,,3.5,1.0,0.5,0.0,0.5,2.5,anderry01
13,Giannis Antetokounmpo,63,30.4,.589,.633,13.6,5.6,1.0,1.0,3.7,29.5,antetgi01
14,Kostas Antetokounmpo,5,4.0,1.000,.500,0.6,0.4,0.0,0.0,0.2,1.4,antetko01
15,Thanasis Antetokounmpo,20,6.5,.500,.412,1.2,0.8,0.4,0.1,0.6,2.8,antetth01
16,Carmelo Anthony,58,32.8,.485,.845,6.3,1.5,0.8,0.5,1.7,15.4,anthoca01
17,OG Anunoby,69,29.9,.584,.706,5.3,1.6,1.4,0.7,1.1,10.6,anunoog01
18,Ryan Arcidiacono,58,16.0,.532,.711,1.9,1.7,0.5,0.1,0.6,4.5,arcidry01
19,Trevor Ariza,53,28.2,.557,.838,4.6,1.7,1.3,0.3,1.1,8.0,arizatr01
19,Trevor Ariza,32,24.7,.518,.778,4.6,1.6,1.1,0.2,0.9,6.0,arizatr01
19,Trevor Ariza,21,33.4,.597,.872,4.8,2.0,1.6,0.4,1.3,11.0,arizatr01
20,D.J. Augustin,57,24.9,.475,.890,2.1,4.6,0.6,0.0,1.5,10.5,augusdj01
21,Deandre Ayton,38,32.5,.548,.753,11.5,1.9,0.7,1.5,2.1,18.2,aytonde01
22,Dwayne Bacon,39,17.6,.387,.660,2.6,1.3,0.6,0.1,0.9,5.7,bacondw01
23,Marvin Bagley III,13,25.7,.479,.806,7.5,0.8,0.5,0.9,1.4,14.2,baglema01
24,Lonzo Ball,63,32.1,.511,.566,6.1,7.0,1.4,0.6,3.1,11.8,balllo01
25,Mo Bamba,62,14.2,.526,.674,4.9,0.7,0.4,1.4,0.7,5.4,bambamo01
26,J.J. Barea,29,15.5,.488,.909,1.8,3.9,0.2,0.1,1.3,7.7,bareajo01
27,Harrison Barnes,72,34.5,.525,.801,4.9,2.2,0.6,0.2,1.2,14.5,barneha02
28,RJ Barrett,56,30.4,.445,.614,5.0,2.6,1.0,0.3,2.2,14.3,barrerj01
29,Will Barton,58,33.0,.523,.767,6.3,3.7,1.1,0.5,1.5,15.1,bartowi01
30,Keita Bates-Diop,44,16.9,.500,.720,2.9,0.7,0.4,0.5,0.4,6.5,bateske01
30,Keita Bates-Diop,37,17.5,.498,.708,3.0,0.8,0.5,0.5,0.4,6.8,bateske01
30,Keita Bates-Diop,7,14.0,.518,.800,2.4,0.0,0.3,0.6,0.4,5.3,bateske01
31,Nicolas Batum,22,23.0,.432,.900,4.5,3.0,0.8,0.4,1.0,3.6,batumni01
32,Aron Baynes,42,22.2,.558,.747,5.6,1.6,0.2,0.5,1.2,11.5,baynear01
33,Kent Bazemore,68,24.8,.453,.769,4.3,1.4,1.1,0.6,1.3,8.8,bazemke01
33,Kent Bazemore,43,25.8,.433,.806,4.0,1.4,1.0,0.7,1.4,7.9,bazemke01
33,Kent Bazemore,25,23.1,.486,.733,4.9,1.3,1.2,0.4,1.2,10.3,bazemke01
34,Darius Bazley,61,18.5,.472,.694,4.0,0.7,0.4,0.7,0.7,5.6,bazleda01
35,Bradley Beal,57,36.0,.520,.842,4.2,6.1,1.2,0.4,3.4,30.5,bealbr01
36,Malik Beasley,55,22.0,.525,.818,2.7,1.4,0.7,0.1,1.0,11.2,beaslma01
36,Malik Beasley,41,18.2,.485,.868,1.9,1.2,0.8,0.1,0.9,7.9,beaslma01
36,Malik Beasley,14,33.1,.577,.750,5.1,1.9,0.6,0.1,1.5,20.7,beaslma01
37,Marco Belinelli,57,15.5,.498,.828,1.7,1.2,0.2,0.0,0.3,6.3,belinma01
38,Jordan Bell,29,8.8,.552,.613,2.8,0.6,0.1,0.3,0.7,3.2,belljo01
38,Jordan Bell,27,8.7,.550,.586,2.9,0.5,0.1,0.4,0.7,3.1,belljo01
38,Jordan Bell,2,10.5,.571,1.000,1.5,1.0,0.5,0.0,1.5,5.0,belljo01
39,DeAndre' Bembry,43,21.3,.489,.542,3.5,1.9,1.3,0.4,1.4,5.8,bembrde01
40,Dragan Bender,16,17.9,.527,.714,4.6,1.8,0.3,0.6,1.3,6.7,bendedr01
40,Dragan Bender,7,13.0,.571,.667,2.9,1.3,0.0,0.7,0.7,3.7,bendedr01
40,Dragan Bender,9,21.7,.514,.727,5.9,2.1,0.4,0.4,1.8,9.0,bendedr01
41,Dāvis Bertāns,54,29.3,.598,.852,4.5,1.7,0.7,0.6,1.1,15.4,bertada01
42,Patrick Beverley,51,26.3,.548,.660,5.2,3.6,1.1,0.5,1.3,7.9,beverpa01
43,Khem Birch,48,19.2,.510,.653,4.6,1.0,0.4,0.5,0.6,4.4,birchkh01
44,Goga Bitadze,54,8.7,.493,.727,2.0,0.4,0.2,0.7,0.5,3.2,bitadgo01
45,Bismack Biyombo,53,19.4,.543,.603,5.8,0.9,0.2,0.9,0.9,7.4,biyombi01
46,Nemanja Bjelica,72,27.9,.583,.821,6.4,2.8,0.9,0.6,1.4,11.5,bjeline01
47,Eric Bledsoe,61,27.0,.528,.790,4.6,5.4,0.9,0.4,2.4,14.9,bledser01
48,Bogdan Bogdanović,61,29.0,.547,.741,3.4,3.4,1.0,0.2,1.7,15.1,bogdabo01
49,Bojan Bogdanović,63,33.1,.548,.903,4.1,2.1,0.5,0.1,2.5,20.2,bogdabo02
