Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
Precious Achiuwa,61,12.1,.544,.509,3.4,0.5,0.3,0.5,0.7,5.0,achiupr01
Jaylen Adams,7,2.6,.125,,0.4,0.3,0.0,0.0,0.0,0.3,adamsja01
Steven Adams,58,27.7,.614,.444,8.9,1.9,0.9,0.7,1.3,7.6,adamsst01
Bam Adebayo,64,33.5,.571,.799,9.0,5.4,1.2,1.0,2.6,18.7,adebaba01
LaMarcus Aldridge,26,25.9,.525,.872,4.5,1.9,0.4,1.1,1.0,13.5,aldrila01
LaMarcus Aldridge,21,25.9,.518,.838,4.5,1.7,0.4,0.9,1.0,13.7,aldrila01
LaMarcus Aldridge,5,26.0,.563,1.000,4.8,2.6,0.6,2.2,1.4,12.8,aldrila01
Ty-Shon Alexander,15,3.1,.333,.500,0.7,0.4,0.0,0.1,0.2,0.6,alexaty01
Nickeil Alexander-Walker,46,21.9,.502,.727,3.1,2.2,1.0,0.5,1.5,11.0,alexani01
Grayson Allen,50,25.2,.547,.868,3.2,2.2,0.9,0.2,1.0,10.6,allengr01
Jarrett Allen,63,29.6,.624,.703,10.0,1.7,0.5,1.4,1.6,12.8,allenja01
Jarrett Allen,12,26.7,.677,.754,10.4,1.7,0.6,1.6,1.8,11.2,allenja01
Jarrett Allen,51,30.3,.616,.690,9.9,1.7,0.5,1.4,1.5,13.2,allenja01
Al-Farouq Aminu,23,18.9,.424,.818,4.8,1.3,0.8,0.4,1.2,4.4,aminual01
Al-Farouq Aminu,17,21.6,.444,.824,5.4,1.7,1.0,0.5,1.5,5.5,aminual01
Al-Farouq Aminu,6,11.2,.250,.800,3.2,0.3,0.3,0.0,0.5,1.5,aminual01
Kyle Anderson,69,27.3,.540,.783,5.7,3.6,1.2,0.8,1.2,12.4,anderky01
Giannis Antetokounmpo,61,33.0,.600,.685,11.0,5.9,1.2,1.2,3.4,28.1,antetgi01
Kostas Antetokounmpo,15,3.7,.300,.462,1.3,0.1,0.1,0.3,0.7,0.8,antetko01
Thanasis Antetokounmpo,57,9.7,.515,.510,2.2,0.8,0.4,0.2,0.8,2.9,antetth01
Carmelo Anthony,69,24.5,.506,.890,3.1,1.5,0.7,0.6,0.9,13.4,anthoca01
Cole Anthony,47,27.1,.449,.832,4.7,4.1,0.6,0.4,2.3,12.9,anthoco01
OG Anunoby,43,33.3,.580,.784,5.5,2.2,1.5,0.7,1.7,15.9,anunoog01
Ryan Arcidiacono,44,10.2,.526,.650,1.5,1.3,0.2,0.0,0.2,3.1,arcidry01
Trevor Ariza,30,28.0,.515,.773,4.8,1.8,1.0,0.6,0.7,9.4,arizatr01
D.J. Augustin,57,19.8,.515,.904,1.6,3.3,0.5,0.0,1.1,7.7,augusdj01
D.J. Augustin,37,19.3,.497,.900,1.4,3.0,0.5,0.0,0.9,6.1,augusdj01
D.J. Augustin,20,20.8,.536,.907,2.2,3.9,0.4,0.0,1.6,10.6,augusdj01
Deni Avdija,54,23.3,.502,.644,4.9,1.2,0.6,0.3,0.6,6.3,avdijde01
Deandre Ayton,69,30.7,.629,.769,10.5,1.4,0.6,1.2,1.5,14.4,aytonde01
Udoka Azubuike,15,3.8,.444,.800,0.9,0.0,0.1,0.3,0.2,1.1,azubuud01
Dwayne Bacon,72,25.7,.443,.824,3.1,1.3,0.6,0.1,0.6,10.9,bacondw01
Marvin Bagley III,43,25.9,.542,.575,7.4,1.0,0.5,0.5,1.4,14.1,baglema01
LaMelo Ball,51,28.8,.504,.758,5.9,6.1,1.6,0.4,2.8,15.7,ballla01
Lonzo Ball,55,31.8,.537,.781,4.8,5.7,1.5,0.6,2.2,14.6,balllo01
Mo Bamba,46,15.8,.535,.682,5.8,0.8,0.3,1.3,0.8,8.0,bambamo01
Desmond Bane,68,22.3,.586,.816,3.1,1.7,0.6,0.2,0.9,9.2,banede01
Harrison Barnes,58,36.2,.575,.830,6.6,3.5,0.7,0.2,1.6,16.1,barneha02
RJ Barrett,72,34.9,.499,.746,5.8,3.0,0.7,0.3,1.9,17.6,barrerj01
Will Barton,56,31.0,.507,.785,4.0,3.2,0.9,0.4,1.7,12.7,bartowi01
Keita Bates-Diop,30,8.2,.485,.667,1.6,0.4,0.4,0.2,0.2,2.6,bateske01
Nicolas Batum,67,27.4,.597,.828,4.7,2.2,1.0,0.6,0.8,8.1,batumni01
Aron Baynes,53,18.5,.485,.707,5.2,0.9,0.3,0.4,0.9,6.1,baynear01
Kent Bazemore,67,19.9,.545,.692,3.4,1.6,1.0,0.5,1.2,7.2,bazemke01
Darius Bazley,55,31.2,.456,.702,7.2,1.8,0.5,0.5,2.2,13.7,bazleda01
Bradley Beal,60,35.8,.532,.889,4.7,4.4,1.2,0.4,3.1,31.3,bealbr01
Malik Beasley,37,32.8,.547,.850,4.4,2.4,0.8,0.2,1.6,19.6,beaslma01
Jordan Bell,6,13.7,.318,.500,4.0,1.2,0.5,0.8,0.7,2.5,belljo01
Jordan Bell,5,13.4,.350,,3.8,1.0,0.6,0.6,0.6,2.8,belljo01
Jordan Bell,1,15.0,.000,.500,5.0,2.0,0.0,2.0,1.0,1.0,belljo01
DeAndre' Bembry,51,19.1,.544,.682,2.9,2.1,1.0,0.4,1.4,5.7,bembrde01
Dāvis Bertāns,57,25.7,.581,.870,2.9,0.9,0.6,0.2,0.6,11.5,bertada01
Patrick Beverley,37,22.5,.550,.800,3.2,2.1,0.8,0.8,0.9,7.5,beverpa01
Saddiq Bey,70,27.3,.530,.844,4.5,1.4,0.7,0.2,0.9,12.2,beysa01
Tyler Bey,18,3.9,.341,.600,1.1,0.2,0.0,0.1,0.2,1.0,beyty01
Khem Birch,67,22.8,.514,.705,5.8,1.3,0.7,0.7,0.7,7.2,birchkh01
Khem Birch,48,19.8,.459,.741,5.1,1.1,0.7,0.6,0.5,5.3,birchkh01
Khem Birch,19,30.4,.582,.636,7.6,1.9,0.8,1.2,1.1,11.9,birchkh01
Goga Bitadze,45,12.5,.479,.738,3.3,0.8,0.2,1.3,0.4,5.1,bitadgo01
Bismack Biyombo,66,20.4,.587,.448,5.3,1.2,0.3,1.1,1.1,5.0,biyombi01
Nemanja Bjelica,37,16.1,.523,.725,3.4,1.9,0.4,0.1,0.9,6.5,bjeline01
Nemanja Bjelica,26,16.9,.517,.762,3.8,1.9,0.3,0.1,1.1,7.2,bjeline01
Nemanja Bjelica,11,14.2,.543,.556,2.5,1.8,0.6,0.3,0.5,5.0,bjeline01
Eric Bledsoe,71,29.7,.503,.687,3.4,3.8,0.8,0.3,1.6,12.2,bledser01
Keljin Blevins,17,4.4,.300,,0.6,0.2,0.1,0.0,0.3,0.7,blevike01
Bogdan Bogdanović,44,29.7,.602,.909,3.6,3.3,1.1,0.3,1.2,16.4,bogdabo01
Bojan Bogdanović,72,30.8,.536,.879,3.9,1.9,0.6,0.1,1.8,17.0,bogdabo02
Bol Bol,32,5.0,.509,.667,0.8,0.2,0.1,0.3,0.4,2.2,bolbo01
Marques Bolden,6,4.8,.333,.625,1.0,0.0,0.3,0.3,0.3,1.2,boldema01
Jordan Bone,14,14.0,.519,,1.7,1.3,0.1,0.0,0.2,4.0,bonejo01
Isaac Bonga,40,10.8,.451,.625,1.7,0.6,0.3,0.2,0.6,2.0,bongais01
Devin Booker,67,33.9,.533,.867,4.2,4.3,0.8,0.2,3.1,25.6,bookede01
Chris Boucher,60,24.2,.595,.788,6.7,1.1,0.6,1.9,0.8,13.6,bouchch01
Brian Bowen,6,2.5,.250,1.000,0.5,0.0,0.0,0.0,0.0,0.5,bowenbr02
Avery Bradley,27,22.3,.471,.800,2.1,1.7,0.8,0.1,1.0,6.4,bradlav01
Avery Bradley,10,21.1,.591,.778,1.8,1.4,0.7,0.1,0.9,8.5,bradlav01
Avery Bradley,17,23.0,.395,.833,2.3,1.9,0.8,0.1,1.1,5.2,bradlav01
Tony Bradley,42,16.3,.665,.691,5.7,0.9,0.4,0.7,0.8,7.1,bradlto01
Tony Bradley,20,14.4,.680,.636,5.2,0.9,0.3,0.7,0.3,5.5,bradlto01
Tony Bradley,22,18.0,.656,.705,6.1,0.9,0.4,0.8,1.2,8.7,bradlto01
Jarrell Brantley,28,4.9,.596,1.000,1.0,0.5,0.3,0.1,0.3,2.3,brantja01
Ignas Brazdeikis,13,19.2,.488,.714,3.5,1.3,0.3,0.2,0.9,7.0,brazdig01
Ignas Brazdeikis,4,1.8,.000,1.000,0.5,0.3,0.0,0.0,0.3,0.5,brazdig01
Ignas Brazdeikis,1,8.0,.000,,2.0,0.0,0.0,0.0,0.0,0.0,brazdig01
Ignas Brazdeikis,8,29.3,.513,.667,5.1,2.0,0.5,0.4,1.4,11.1,brazdig01
Mikal Bridges,72,32.6,.643,.840,4.3,2.1,1.1,0.9,0.8,13.5,bridgmi01
Miles Bridges,66,29.3,.596,.867,6.0,2.2,0.7,0.8,1.6,12.7,bridgmi02
Amida Brimah,5,5.8,.625,1.000,1.6,0.2,0.0,1.0,0.8,2.6,brimaam01
Oshae Brissett,21,24.7,.593,.769,5.5,0.9,0.9,1.0,0.5,10.9,brissos01
Malcolm Brogdon,56,34.5,.527,.864,5.3,5.9,0.9,0.3,2.1,21.2,brogdma01
Armoni Brooks,20,26.0,.563,.583,3.4,1.5,0.6,0.3,1.1,11.2,brookar01
Dillon Brooks,67,29.8,.481,.815,2.9,2.3,1.2,0.4,1.8,17.2,brookdi01
Bruce Brown,65,22.3,.576,.735,5.4,1.6,0.9,0.4,0.8,8.8,brownbr01
Charlie Brown Jr.,9,16.9,.360,.900,1.9,1.0,0.4,0.2,0.7,4.4,brownch02
Jaylen Brown,58,34.5,.558,.764,6.0,3.4,1.2,0.6,2.7,24.7,brownja02
Moses Brown,43,21.4,.545,.619,8.9,0.2,0.7,1.1,1.0,8.6,brownmo01
Sterling Brown,51,24.1,.584,.806,4.4,1.4,0.7,0.2,0.8,8.2,brownst02
Troy Brown Jr.,34,15.4,.507,.714,3.1,0.9,0.3,0.2,0.6,4.7,browntr01
Troy Brown Jr.,21,13.7,.449,.667,2.9,0.9,0.1,0.2,0.8,4.3,browntr01
Troy Brown Jr.,13,18.2,.600,.833,3.4,0.8,0.5,0.2,0.4,5.5,browntr01
Jalen Brunson,68,25.0,.588,.795,3.4,3.5,0.5,0.0,1.2,12.6,brunsja01
Elijah Bryant,1,32.0,.500,1.000,6.0,3.0,0.0,1.0,4.0,16.0,bryanel01
Thomas Bryant,10,27.1,.698,.667,6.1,1.5,0.4,0.8,1.1,14.3,bryanth01
Reggie Bullock,65,30.0,.587,.909,3.4,1.5,0.8,0.2,0.7,10.9,bullore01
Trey Burke,62,14.7,.510,.895,0.9,1.3,0.6,0.1,0.5,6.6,burketr01
Alec Burks,49,25.6,.522,.856,4.6,2.2,0.6,0.3,1.0,12.7,burksal01
Jimmy Butler,52,33.6,.514,.863,6.9,7.1,2.1,0.3,2.1,21.5,butleji01
Bruno Caboclo,6,6.0,.471,.500,2.3,0.2,0.0,0.3,0.7,2.8,cabocbr01
Devontae Cacok,20,4.9,.586,.455,1.6,0.1,0.3,0.2,0.3,2.0,cacokde01
Kentavious Caldwell-Pope,67,28.4,.549,.866,2.7,1.9,0.9,0.4,1.0,9.7,caldwke01
Facundo Campazzo,65,21.9,.502,.879,2.1,3.6,1.2,0.2,1.1,6.1,campafa01
Vlatko Čančar,41,6.9,.521,.769,1.2,0.3,0.3,0.0,0.3,2.1,cancavl01
Devin Cannady,8,9.3,.500,.857,0.6,0.1,0.6,0.1,0.3,4.3,cannade01
Clint Capela,63,30.1,.594,.573,14.3,0.8,0.7,2.0,1.2,15.2,capelca01
Vernon Carey Jr.,19,6.1,.514,.818,1.4,0.1,0.1,0.3,0.3,2.4,careyve01
