Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
Precious Achiuwa,6,27.8,.529,.600,4.8,1.0,0.2,0.8,1.5,10.2,achiupr01
Steven Adams,7,16.3,.429,.545,6.4,2.1,0.1,0.1,0.6,3.4,adamsst01
Bam Adebayo,18,34.1,.594,.763,8.0,2.7,1.0,0.7,2.1,14.8,adebaba01
Nickeil Alexander-Walker,1,5.0,1.000,1.000,1.0,1.0,1.0,0.0,0.0,5.0,alexani01
Grayson Allen,12,25.4,.567,.636,2.9,1.3,0.7,0.3,0.8,8.3,allengr01
Jose Alvarado,6,19.5,.576,.769,1.3,1.5,1.2,0.2,1.2,8.0,alvarjo01
Kyle Anderson,12,18.4,.598,.611,4.3,1.8,0.9,0.6,0.8,6.0,anderky01
Giannis Antetokounmpo,12,37.3,.507,.679,14.2,6.8,0.7,1.3,4.5,31.7,antetgi01
Thanasis Antetokounmpo,8,2.5,.667,.333,0.5,0.1,0.1,0.0,0.0,0.6,antetth01
OG Anunoby,6,36.2,.561,.750,4.0,2.5,1.0,0.2,1.7,17.3,anunoog01
Deandre Ayton,13,30.5,.646,.636,8.9,1.7,0.4,0.8,1.5,17.9,aytonde01
Desmond Bane,12,35.7,.613,.857,3.8,2.2,0.9,0.8,1.3,18.8,banede01
Dalano Banton,4,2.0,1.000,.500,0.5,0.3,0.3,0.0,0.3,1.8,bantoda01
Scottie Barnes,4,33.3,.452,.813,9.0,4.3,1.0,0.3,1.3,12.8,barnesc01
Will Barton,5,34.4,.492,.667,5.6,2.8,0.8,0.2,2.0,13.8,bartowi01
Charles Bassey,3,4.0,.500,.000,1.7,0.3,0.0,0.3,0.0,0.7,bassech01
Malik Beasley,6,19.8,.523,.833,3.3,0.7,0.3,0.2,1.2,8.5,beaslma01
Dāvis Bertāns,18,10.7,.573,.833,1.4,0.3,0.4,0.1,0.2,4.1,bertada01
Patrick Beverley,6,32.3,.520,.682,3.2,4.8,1.2,1.2,2.0,11.0,beverpa01
Khem Birch,6,10.5,.563,,1.5,0.5,0.2,0.2,0.5,3.0,birchkh01
Bismack Biyombo,9,9.6,.647,.500,2.1,0.6,0.1,0.2,0.7,2.8,biyombi01
Nemanja Bjelica,15,10.0,.574,.571,2.1,1.1,0.3,0.1,0.5,2.9,bjeline01
Bogdan Bogdanović,4,26.8,.500,.800,4.8,3.0,0.3,0.3,1.0,14.3,bogdabo01
Bojan Bogdanović,6,35.7,.549,.792,4.2,1.7,0.3,0.0,2.0,18.0,bogdabo02
Isaac Bonga,1,3.0,,1.000,1.0,0.0,0.0,0.0,0.0,2.0,bongais01
Devin Booker,10,36.6,.531,.887,4.8,4.4,0.5,0.4,3.2,23.3,bookede01
Chris Boucher,6,21.7,.690,.900,5.8,0.2,0.2,1.2,0.3,11.2,bouchch01
Tony Bradley,2,4.0,1.000,,2.0,0.5,0.0,0.0,0.0,5.0,bradlto01
Mikal Bridges,13,38.5,.525,.933,4.7,2.8,1.1,1.0,0.8,13.3,bridgmi01
Armoni Brooks,4,2.0,.000,,0.5,0.0,0.0,0.0,0.0,0.0,brookar01
Dillon Brooks,11,30.5,.422,.640,2.7,2.7,1.0,0.3,2.0,14.6,brookdi01
Bruce Brown,4,34.8,.649,.800,4.8,2.8,1.3,0.8,2.3,14.0,brownbr01
Jaylen Brown,24,38.3,.542,.763,6.9,3.5,1.1,0.4,3.1,23.1,brownja02
Sterling Brown,9,2.9,.300,.714,0.9,0.3,0.4,0.2,0.3,1.2,brownst02
Troy Brown Jr.,3,12.3,.353,,2.7,1.0,0.7,0.0,1.0,4.0,browntr01
Jalen Brunson,18,34.9,.508,.800,4.6,3.7,0.8,0.1,1.1,21.6,brunsja01
Reggie Bullock,18,39.3,.576,.889,4.6,1.7,1.2,0.1,0.4,10.6,bullore01
Trey Burke,10,3.7,.591,1.000,0.3,0.4,0.1,0.0,0.1,3.2,burketr01
Jared Butler,1,5.0,.000,,1.0,0.0,0.0,0.0,0.0,0.0,butleja02
Jimmy Butler,17,37.0,.541,.841,7.4,4.6,2.1,0.6,1.5,27.4,butleji01
Facundo Campazzo,4,3.3,.000,,0.8,0.5,0.0,0.0,0.5,0.0,campafa01
Vlatko Čančar,2,4.5,.833,,1.0,0.5,0.0,0.0,1.0,2.5,cancavl01
Clint Capela,2,20.0,.333,,7.5,0.0,0.5,0.5,0.5,2.0,capelca01
Jevon Carter,11,11.5,.553,1.000,1.5,0.9,0.7,0.0,0.5,2.1,carteje01
Alex Caruso,4,28.3,.543,,2.8,4.3,1.3,1.0,0.3,6.3,carusal01
Marquese Chriss,8,3.8,.563,.833,1.1,0.0,0.0,0.0,0.1,1.8,chrisma01
Brandon Clarke,12,24.7,.615,.667,6.9,2.0,0.8,0.8,1.0,12.3,clarkbr01
Jordan Clarkson,6,28.3,.610,.889,3.2,1.3,0.5,0.2,1.7,17.5,clarkjo01
Nic Claxton,4,24.5,.792,.182,6.3,1.5,1.3,2.3,0.5,10.5,claxtni01
John Collins,5,24.4,.538,.500,4.6,1.2,0.4,0.2,1.0,9.4,collijo01
Mike Conley,6,29.0,.377,.800,3.2,4.8,0.8,0.3,2.2,9.2,conlemi01
Pat Connaughton,12,26.5,.619,1.000,4.3,0.9,0.4,0.3,0.6,9.5,connapa01
DeMarcus Cousins,5,11.4,.724,.733,3.4,1.2,0.6,0.2,1.4,10.6,couside01
Torrey Craig,9,7.7,.432,.500,1.7,0.6,0.4,0.2,0.4,2.2,craigto01
Jae Crowder,13,29.5,.490,.731,4.7,2.4,1.0,0.5,1.5,9.4,crowdja01
Jarrett Culver,3,7.3,.300,.500,2.3,0.3,0.7,0.0,0.7,2.3,culveja01
Seth Curry,4,33.0,.718,.667,2.5,3.0,0.3,0.8,0.8,14.5,curryse01
Stephen Curry,22,34.7,.563,.829,5.2,5.9,1.3,0.4,2.6,27.4,curryst01
Dewayne Dedmon,14,9.9,.478,.833,3.0,0.4,0.1,0.2,0.5,3.8,dedmode01
DeMar DeRozan,5,40.6,.411,.867,5.4,4.8,1.8,0.4,2.2,20.8,derozde01
Gorgui Dieng,2,5.0,.500,1.000,1.5,0.0,0.0,0.0,0.0,1.5,dienggo01
Spencer Dinwiddie,18,27.8,.521,.821,2.4,3.6,0.8,0.3,1.6,14.2,dinwisp01
Luka Dončić,15,36.8,.527,.770,9.8,6.4,1.8,0.6,3.9,31.7,doncilu01
Ayo Dosunmu,5,17.2,.365,1.000,2.6,2.2,0.2,0.0,0.6,4.0,dosunay01
Goran Dragić,4,19.8,.625,1.000,4.5,1.5,0.8,0.0,1.3,10.5,dragigo01
Andre Drummond,4,15.0,.545,.600,3.0,0.8,1.3,0.8,1.5,3.8,drumman01
Kevin Durant,4,44.0,.428,.895,5.8,6.3,1.0,0.3,5.3,26.3,duranke01
Anthony Edwards,6,37.8,.559,.824,4.2,3.0,1.2,1.2,2.5,25.2,edwaran01
Kessler Edwards,2,3.5,,,0.0,0.5,0.5,0.0,0.5,0.0,edwarke02
Joel Embiid,10,38.5,.506,.820,10.7,2.1,0.4,0.8,3.2,23.6,embiijo01
Dorian Finney-Smith,18,38.2,.618,.708,5.5,1.9,0.9,0.4,1.0,11.7,finnedo01
Malik Fitts,9,1.8,1.000,,0.2,0.0,0.0,0.0,0.0,0.9,fittsma01
Malachi Flynn,6,6.0,.000,,0.5,0.5,0.2,0.0,0.2,0.0,flynnma01
Bryn Forbes,5,15.2,.533,.800,0.6,1.4,0.2,0.0,0.4,4.0,forbebr01
Danilo Gallinari,5,22.4,.444,1.000,4.2,0.8,0.2,0.0,1.0,10.2,gallida01
Rudy Gobert,6,32.8,.636,.682,13.2,0.5,0.2,1.0,1.3,12.0,goberru01
Aaron Gordon,5,32.0,.454,.714,7.2,2.6,0.4,1.2,1.6,13.8,gordoaa01
Devonte' Graham,6,10.0,.472,.875,1.5,0.7,0.2,0.2,0.7,4.0,grahade01
Danny Green,12,26.6,.579,.000,3.1,0.8,1.0,0.3,1.1,8.6,greenda02
Draymond Green,22,32.0,.507,.638,7.2,6.3,1.1,1.0,2.7,8.0,greendr01
JaMychal Green,5,13.8,.406,1.000,2.4,0.4,0.0,0.2,0.4,4.0,greenja01
Javonte Green,5,14.4,.176,.500,3.0,0.4,1.8,0.0,0.8,1.4,greenja02
Jeff Green,5,22.6,.441,.800,3.6,0.4,0.6,0.4,0.4,3.8,greenje02
Josh Green,16,7.6,.375,.250,0.8,0.4,0.3,0.0,0.0,1.4,greenjo02
Blake Griffin,2,12.5,.429,1.000,2.0,2.0,0.5,0.5,0.5,4.0,griffbl01
James Harden,12,39.9,.494,.893,5.7,8.6,0.8,0.7,4.2,18.6,hardeja01
Tobias Harris,12,38.8,.568,.864,7.6,2.9,1.1,0.8,1.5,16.9,harrito02
Sam Hauser,7,2.1,.375,1.000,0.1,0.3,0.0,0.0,0.0,0.7,hausesa01
Jaxson Hayes,6,13.8,.560,.636,2.5,0.2,0.0,0.3,0.7,5.8,hayesja02
Juancho Hernangómez,6,9.3,.389,,2.0,0.8,0.3,0.0,0.3,2.3,hernaju01
Willy Hernangómez,1,2.0,.250,,2.0,0.0,0.0,0.0,0.0,2.0,hernawi01
Tyler Herro,15,25.4,.453,.926,3.9,2.8,0.6,0.4,1.8,12.6,herroty01
Haywood Highsmith,8,3.9,.643,,0.6,0.4,0.0,0.0,0.4,1.1,highsha01
George Hill,5,15.2,.300,1.000,1.2,0.6,0.0,0.0,0.2,1.0,hillge01
Aaron Holiday,6,3.3,.750,.000,0.5,1.5,0.5,0.2,0.0,3.5,holidaa01
Jrue Holiday,12,38.6,.432,.839,5.6,6.5,1.8,0.6,2.8,19.1,holidjr01
Al Horford,23,35.4,.645,.778,9.3,3.3,0.8,1.3,1.3,12.0,horfoal01
Danuel House Jr.,6,18.7,.455,.750,2.8,0.7,0.0,0.2,1.0,4.3,houseda01
Kevin Huerter,5,30.8,.457,.750,3.0,3.8,1.2,0.6,2.2,9.2,huertke01
De'Andre Hunter,5,35.0,.643,.800,3.8,0.6,0.8,0.2,2.2,21.2,huntede01
Bones Hyland,5,17.4,.472,.857,2.0,3.2,0.2,0.0,1.2,9.2,hylanbo01
Serge Ibaka,6,3.7,.250,.500,1.7,0.0,0.0,0.0,0.3,1.5,ibakase01
Andre Iguodala,7,8.7,.500,.667,1.0,1.7,0.0,0.3,0.6,1.6,iguodan01
Brandon Ingram,6,39.3,.521,.830,6.2,6.2,0.7,0.3,3.8,27.0,ingrabr01
Kyrie Irving,4,42.5,.508,1.000,5.3,5.3,1.8,1.3,2.3,21.3,irvinky01
Jaren Jackson Jr.,12,27.7,.465,.755,6.8,0.9,0.8,2.5,1.4,15.4,jacksja02
Isaiah Joe,7,2.1,.500,,0.3,0.0,0.0,0.0,0.4,0.7,joeis01
Cameron Johnson,13,24.6,.576,.813,3.5,1.5,0.4,0.1,0.9,10.8,johnsca02
Jalen Johnson,2,4.5,.000,,0.0,0.0,0.0,0.0,0.5,0.0,johnsja05
Nikola Jokić,5,34.2,.599,.848,13.2,5.8,1.6,1.0,4.8,31.0,jokicni01
Derrick Jones Jr.,5,11.8,.500,.667,1.4,0.4,0.2,0.0,0.6,3.8,jonesde02
Herbert Jones,6,37.7,.534,.773,3.3,1.8,1.8,0.8,1.3,10.7,joneshe01
Tyus Jones,12,21.8,.485,.933,3.3,4.5,1.2,0.2,1.1,9.2,jonesty01
DeAndre Jordan,3,10.3,1.000,,2.3,0.3,0.0,0.7,0.7,3.3,jordade01
Maxi Kleber,18,25.4,.670,.714,4.6,1.1,0.2,0.8,0.6,8.7,klebima01
Kevin Knox,2,4.5,.909,1.000,1.0,0.0,1.0,0.0,1.5,11.0,knoxke01
John Konchar,8,7.0,.318,1.000,2.4,0.6,0.4,0.1,0.1,1.1,konchjo01
Furkan Korkmaz,9,6.8,.565,1.000,1.3,0.4,0.1,0.1,0.2,3.1,korkmfu01
Luke Kornet,9,2.1,.875,,0.6,0.1,0.0,0.0,0.1,0.8,kornelu01
Jonathan Kuminga,16,8.6,.525,.769,1.7,0.5,0.2,0.1,0.7,5.2,kuminjo01
Zach LaVine,4,38.3,.500,.933,5.3,6.0,0.8,0.3,3.0,19.3,lavinza01
Damion Lee,16,7.8,.441,.667,1.6,0.4,0.1,0.0,0.4,2.0,leeda03
Kevon Looney,22,20.4,.659,.611,7.6,2.2,0.4,0.5,0.9,5.8,looneke01
Brook Lopez,12,27.7,.520,.913,5.9,0.7,0.5,1.5,0.9,10.6,lopezbr01
Kyle Lowry,10,29.5,.366,.789,3.6,4.7,1.2,0.7,1.9,7.8,lowryky01
Timothé Luwawu-Cabarrot,4,5.5,.625,,0.8,0.5,0.0,0.0,0.3,1.3,luwawti01
Boban Marjanović,3,2.0,.250,1.000,1.0,0.0,0.3,0.0,0.7,1.3,marjabo01
Naji Marshall,6,9.3,.700,1.000,1.0,0.8,0.2,0.2,0.5,3.0,marshna01
Caleb Martin,17,12.3,.463,.333,2.2,0.3,0.6,0.1,0.6,4.5,martica02
Wesley Matthews,12,28.8,.531,.667,3.1,1.2,0.8,0.3,0.5,6.2,matthwe02
Tyrese Maxey,12,40.4,.555,.940,3.5,3.9,0.8,0.2,1.8,20.8,maxeyty01
Skylar Mays,2,4.5,1.000,,0.5,0.5,0.5,0.0,0.0,1.0,mayssk01
CJ McCollum,6,39.0,.460,.692,6.7,4.8,0.7,0.8,2.5,22.2,mccolcj01
Jaden McDaniels,6,21.7,.676,.833,2.8,0.7,0.3,1.8,1.0,9.3,mcdanja02
JaVale McGee,12,11.1,.700,.846,4.0,0.6,0.3,0.4,0.8,6.8,mcgeeja01
Jordan McLaughlin,5,16.6,.824,.750,2.4,3.4,1.0,0.0,0.4,6.2,mclaujo01
De'Anthony Melton,10,17.0,.408,.750,3.1,1.6,1.0,0.5,1.4,5.6,meltode01
Khris Middleton,2,36.0,.542,1.000,5.0,7.0,1.5,0.0,5.5,14.5,middlkh01
Patty Mills,4,18.0,.781,,1.0,0.0,0.0,0.3,0.3,6.3,millspa02
Paul Millsap,1,6.0,,,1.0,1.0,0.0,0.0,0.0,0.0,millspa01
Shake Milton,12,13.2,.579,.800,1.6,0.9,0.5,0.3,0.4,5.0,miltosh01
Donovan Mitchell,6,38.2,.436,.881,4.3,5.7,0.7,0.5,2.7,25.5,mitchdo01
Greg Monroe,2,3.5,.400,,1.0,0.5,1.0,0.0,0.5,2.0,monrogr01
Moses Moody,13,8.1,.661,.667,0.6,0.3,0.2,0.2,0.2,3.2,moodymo01
Ja Morant,9,37.6,.486,.747,8.0,9.8,2.0,0.4,3.6,27.1,moranja01
Juwan Morgan,9,1.7,.000,.500,0.3,0.0,0.0,0.0,0.0,0.1,morgaju01
Markieff Morris,1,3.0,.000,,1.0,0.0,0.0,0.0,1.0,0.0,morrima02
Monte Morris,5,31.2,.598,.750,2.2,5.4,1.2,0.0,1.6,14.0,morrimo01
