Player,G,MP,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Player-additional
Bam Adebayo,23,37.0,.481,.821,2.7,7.1,9.9,3.7,0.9,0.7,2.7,17.9,adebaba01
Santi Aldama,6,16.8,.561,1.000,1.2,3.2,4.3,1.2,0.5,0.0,0.3,6.5,aldamsa01
Nickeil Alexander-Walker,5,29.6,.571,.667,0.2,1.8,2.0,1.4,0.6,0.2,0.8,8.4,alexani01
Grayson Allen,5,29.8,.634,.857,0.2,2.2,2.4,1.8,0.4,0.0,0.8,11.6,allengr01
Jarrett Allen,5,38.2,.611,.500,3.0,4.4,7.4,2.4,0.8,1.0,0.6,9.4,allenja01
Kyle Anderson,4,26.0,.533,1.000,0.8,3.3,4.0,4.5,1.8,0.5,1.5,8.5,anderky01
Giannis Antetokounmpo,3,30.3,.528,.452,2.7,8.3,11.0,5.3,0.3,0.7,4.7,23.3,antetgi01
Thanasis Antetokounmpo,2,2.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,antetth01
Deandre Ayton,10,31.9,.550,.522,2.9,6.8,9.7,1.0,0.6,0.7,1.7,13.4,aytonde01
Patrick Baldwin Jr.,3,3.7,.000,,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,baldwpa01
Mo Bamba,3,3.3,.000,,0.0,1.0,1.0,0.3,0.0,0.3,0.0,0.0,bambamo01
Desmond Bane,6,38.5,.491,.931,1.2,4.8,6.0,3.2,0.5,0.0,2.8,23.5,banede01
Harrison Barnes,7,28.0,.467,.731,1.4,2.0,3.4,0.7,1.1,0.3,0.4,10.7,barneha02
RJ Barrett,11,34.3,.494,.769,0.5,4.0,4.5,2.8,0.8,0.2,2.3,19.3,barrerj01
Nicolas Batum,5,18.4,.579,,0.2,2.0,2.2,1.2,0.4,0.4,0.4,4.4,batumni01
Malik Beasley,11,8.3,.397,1.000,0.3,0.5,0.7,0.2,0.1,0.0,0.2,3.0,beaslma01
MarJon Beauchamp,2,2.5,.833,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,2.5,beaucma01
Saddiq Bey,6,22.2,.463,.889,1.2,2.8,4.0,1.0,0.5,0.0,0.3,7.5,beysa01
Bismack Biyombo,8,9.8,.563,.500,1.3,2.1,3.4,0.8,0.0,1.3,0.8,3.4,biyombi01
Bogdan Bogdanović,6,26.2,.694,.714,0.3,2.7,3.0,2.5,1.0,0.8,0.5,13.3,bogdabo01
Devin Booker,11,41.7,.649,.866,1.1,3.7,4.8,7.2,1.7,0.8,2.9,33.7,bookede01
Brandon Boston Jr.,1,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bostobr01
Christian Braun,19,13.0,.556,.579,0.6,1.4,2.1,0.6,0.6,0.2,0.5,3.2,braunch01
Mikal Bridges,4,39.3,.494,.783,0.5,4.8,5.3,4.0,0.5,0.5,2.0,23.5,bridgmi01
Malcolm Brogdon,19,24.9,.503,.829,0.7,2.8,3.5,2.9,0.2,0.3,1.0,11.9,brogdma01
Dillon Brooks,6,27.8,.377,.714,0.5,2.5,3.0,1.8,0.2,0.0,1.2,10.5,brookdi01
Bruce Brown,20,26.5,.563,.857,0.8,3.3,4.0,1.9,1.1,0.5,1.2,12.0,brownbr01
